Open,High,Low,Close,Adj Close,Volume
4406.85986328125,4422.18017578125,4384.81005859375,4387.16015625,4387.16015625,2919940000
4392.740234375,4423.7900390625,4373.0,4423.14990234375,4423.14990234375,3305340000
4415.9501953125,4416.169921875,4400.22998046875,4402.66015625,4402.66015625,3382620000
4408.85986328125,4429.759765625,4408.85986328125,4429.10009765625,4429.10009765625,2734220000
4429.06982421875,4440.81982421875,4429.06982421875,4436.52001953125,4436.52001953125,2839970000
4437.77001953125,4439.39013671875,4424.740234375,4432.35009765625,4432.35009765625,2779880000
4435.7900390625,4445.2099609375,4430.02978515625,4436.75,4436.75,3219840000
4442.18017578125,4449.43994140625,4436.419921875,4442.41015625,4442.41015625,2803060000
4446.080078125,4461.77001953125,4435.9599609375,4460.830078125,4460.830078125,2543860000
4464.83984375,4468.3701171875,4460.81982421875,4468.0,4468.0,2371630000
4461.64990234375,4480.259765625,4437.66015625,4479.7099609375,4479.7099609375,2707170000
4462.1201171875,4462.1201171875,4417.830078125,4448.080078125,4448.080078125,2884000000
4440.93994140625,4454.31982421875,4397.58984375,4400.27001953125,4400.27001953125,2965210000
4382.43994140625,4418.60986328125,4367.72998046875,4405.7998046875,4405.7998046875,3120840000
4410.56005859375,4444.35009765625,4406.7998046875,4441.669921875,4441.669921875,2867770000
4450.2900390625,4489.8798828125,4450.2900390625,4479.52978515625,4479.52978515625,2965520000
4484.39990234375,4492.81005859375,4482.27978515625,4486.22998046875,4486.22998046875,3037770000
4490.4501953125,4501.7099609375,4485.66015625,4496.18994140625,4496.18994140625,2554680000
4493.75,4495.89990234375,4468.990234375,4470.0,4470.0,2704600000
4474.10009765625,4513.330078125,4474.10009765625,4509.3701171875,4509.3701171875,2862360000
4513.759765625,4537.35986328125,4513.759765625,4528.7900390625,4528.7900390625,2557300000
4529.75,4531.39013671875,4515.7998046875,4522.68017578125,4522.68017578125,3090380000
4528.7998046875,4537.10986328125,4522.02001953125,4524.08984375,4524.08984375,3101830000
4534.47998046875,4545.85009765625,4524.66015625,4536.9501953125,4536.9501953125,2897010000
4532.419921875,4541.4501953125,4521.2998046875,4535.43017578125,4535.43017578125,2609660000
4535.3798828125,4535.3798828125,4513.0,4520.02978515625,4520.02978515625,3098870000
4518.08984375,4521.7900390625,4493.9501953125,4514.06982421875,4514.06982421875,2808480000
4513.02001953125,4529.89990234375,4492.06982421875,4493.27978515625,4493.27978515625,3035300000
4506.919921875,4520.47021484375,4457.66015625,4458.580078125,4458.580078125,2851140000
4474.81005859375,4492.990234375,4445.7001953125,4468.72998046875,4468.72998046875,3096390000
4479.330078125,4485.68017578125,4435.4599609375,4443.0498046875,4443.0498046875,2568730000
4447.490234375,4486.8701171875,4438.3701171875,4480.7001953125,4480.7001953125,3154760000
4477.08984375,4485.8701171875,4443.7998046875,4473.75,4473.75,3321030000
4469.740234375,4471.52001953125,4427.759765625,4432.990234375,4432.990234375,5622210000
4402.9501953125,4402.9501953125,4305.91015625,4357.72998046875,4357.72998046875,3773680000
4374.4501953125,4394.8701171875,4347.9599609375,4354.18994140625,4354.18994140625,3044300000
4367.43017578125,4416.75,4367.43017578125,4395.64013671875,4395.64013671875,3273670000
4406.75,4465.39990234375,4406.75,4448.97998046875,4448.97998046875,2833290000
4438.0400390625,4463.1201171875,4430.27001953125,4455.47998046875,4455.47998046875,2772090000
4442.1201171875,4457.2998046875,4436.18994140625,4443.10986328125,4443.10986328125,3032870000
4419.5400390625,4419.5400390625,4346.330078125,4352.6298828125,4352.6298828125,3495970000
4362.41015625,4385.56982421875,4355.080078125,4359.4599609375,4359.4599609375,2753800000
4370.669921875,4382.5498046875,4306.240234375,4307.5400390625,4307.5400390625,3123770000
4317.16015625,4375.18994140625,4288.52001953125,4357.0400390625,4357.0400390625,3148980000
4348.83984375,4355.509765625,4278.93994140625,4300.4599609375,4300.4599609375,3110560000
4309.8701171875,4369.22998046875,4309.8701171875,4345.72021484375,4345.72021484375,2967400000
4319.56982421875,4365.56982421875,4290.490234375,4363.5498046875,4363.5498046875,3219590000
4383.72998046875,4429.97021484375,4383.72998046875,4399.759765625,4399.759765625,3096080000
4406.509765625,4412.02001953125,4386.22021484375,4391.33984375,4391.33984375,2401890000
4385.43994140625,4415.8798828125,4360.58984375,4361.18994140625,4361.18994140625,2580000000
4368.31005859375,4374.89013671875,4342.08984375,4350.64990234375,4350.64990234375,2608150000
4358.009765625,4372.8701171875,4329.919921875,4363.7998046875,4363.7998046875,2926460000
4386.75,4439.72998046875,4386.75,4438.259765625,4438.259765625,2642920000
4447.68994140625,4475.81982421875,4447.68994140625,4471.3701171875,4471.3701171875,3000560000
4463.72021484375,4488.75,4447.47021484375,4486.4599609375,4486.4599609375,2683540000
4497.33984375,4520.39990234375,4496.41015625,4519.6298828125,4519.6298828125,2531210000
4524.419921875,4540.8701171875,4524.39990234375,4536.18994140625,4536.18994140625,2671560000
4532.240234375,4551.43994140625,4526.89013671875,4549.77978515625,4549.77978515625,3016950000
4546.1201171875,4559.669921875,4524.0,4544.89990234375,4544.89990234375,3062810000
4553.68994140625,4572.6201171875,4537.35986328125,4566.47998046875,4566.47998046875,3250210000
4578.68994140625,4598.52978515625,4569.169921875,4574.7900390625,4574.7900390625,2866500000
4580.22021484375,4584.56982421875,4551.66015625,4551.68017578125,4551.68017578125,3259510000
4562.83984375,4597.5498046875,4562.83984375,4596.419921875,4596.419921875,3197560000
4572.8701171875,4608.080078125,4567.58984375,4605.3798828125,4605.3798828125,3632260000
4610.6201171875,4620.33984375,4595.06005859375,4613.669921875,4613.669921875,2924000000
4613.33984375,4635.14990234375,4613.33984375,4630.64990234375,4630.64990234375,3309690000
4630.64990234375,4663.4599609375,4621.18994140625,4660.56982421875,4660.56982421875,3339440000
4662.93017578125,4683.0,4662.58984375,4680.06005859375,4680.06005859375,3332940000
4699.259765625,4718.5,4681.31982421875,4697.52978515625,4697.52978515625,3491150000
4701.47998046875,4714.919921875,4694.39013671875,4701.7001953125,4701.7001953125,3465720000
4707.25,4708.52978515625,4670.8701171875,4685.25,4685.25,3110230000
4670.259765625,4684.85009765625,4630.85986328125,4646.7099609375,4646.7099609375,3581630000
4659.39013671875,4664.5498046875,4648.31005859375,4649.27001953125,4649.27001953125,2623140000
4655.240234375,4688.47021484375,4650.77001953125,4682.85009765625,4682.85009765625,2865790000
4689.2998046875,4697.419921875,4672.85986328125,4682.7998046875,4682.7998046875,2618980000
4679.419921875,4714.9501953125,4679.419921875,4700.89990234375,4700.89990234375,2838210000
4701.5,4701.5,4684.41015625,4688.669921875,4688.669921875,3221250000
4700.72021484375,4708.7998046875,4672.77978515625,4704.5400390625,4704.5400390625,3335620000
4708.43994140625,4717.75,4694.22021484375,4697.9599609375,4697.9599609375,3265600000
4712.0,4743.830078125,4682.169921875,4682.93994140625,4682.93994140625,3206280000
4678.47998046875,4699.39013671875,4652.66015625,4690.7001953125,4690.7001953125,3428780000
4675.77978515625,4702.8701171875,4659.89013671875,4701.4599609375,4701.4599609375,2464040000
4664.6298828125,4664.6298828125,4585.43017578125,4594.6201171875,4594.6201171875,2676740000
4628.75,4672.9501953125,4625.259765625,4655.27001953125,4655.27001953125,3471380000
4640.25,4646.02001953125,4560.0,4567.0,4567.0,4950190000
4602.81982421875,4652.93994140625,4510.27001953125,4513.0400390625,4513.0400390625,4078260000
4504.72998046875,4595.4599609375,4504.72998046875,4577.10009765625,4577.10009765625,3771510000
4589.490234375,4608.02978515625,4495.1201171875,4538.43017578125,4538.43017578125,3971500000
4548.3701171875,4612.60009765625,4540.509765625,4591.669921875,4591.669921875,3305690000
4631.97021484375,4694.0400390625,4631.97021484375,4686.75,4686.75,3334320000
4690.85986328125,4705.06005859375,4674.52001953125,4701.2099609375,4701.2099609375,3061550000
4691.0,4695.259765625,4665.97998046875,4667.4501953125,4667.4501953125,2851660000
4687.64013671875,4713.56982421875,4670.240234375,4712.02001953125,4712.02001953125,2858310000
4710.2998046875,4710.2998046875,4667.60009765625,4668.97021484375,4668.97021484375,3322050000
4642.990234375,4660.47021484375,4606.52001953125,4634.08984375,4634.08984375,3292740000
4636.4599609375,4712.60009765625,4611.22021484375,4709.85009765625,4709.85009765625,3367580000
4719.1298828125,4731.990234375,4651.89013671875,4668.669921875,4668.669921875,3592810000
4652.5,4666.7001953125,4600.22021484375,4620.64013671875,4620.64013671875,5609780000
4587.89990234375,4587.89990234375,4531.10009765625,4568.02001953125,4568.02001953125,3395780000
4594.9599609375,4651.14013671875,4583.16015625,4649.22998046875,4649.22998046875,2564370000
4650.35986328125,4697.669921875,4645.52978515625,4696.56005859375,4696.56005859375,2439570000
4703.9599609375,4740.740234375,4703.9599609375,4725.7900390625,4725.7900390625,2194630000
4733.990234375,4791.490234375,4733.990234375,4791.18994140625,4791.18994140625,2264120000
4795.490234375,4807.02001953125,4780.0400390625,4786.35009765625,4786.35009765625,2217050000
4788.64013671875,4804.06005859375,4778.080078125,4793.06005859375,4793.06005859375,2369370000
4794.22998046875,4808.93017578125,4775.330078125,4778.72998046875,4778.72998046875,2390990000
4775.2099609375,4786.830078125,4765.75,4766.18017578125,4766.18017578125,2446190000
4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,4796.56005859375,2775190000
4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,4793.5400390625,3641050000
4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,4700.580078125,3733540000
4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,4696.0498046875,3371250000
4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,4677.02978515625,3279870000
4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,4670.2900390625,3621800000
4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,4713.06982421875,3421600000
4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,4726.35009765625,3060040000
4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,4659.02978515625,3539830000
4637.990234375,4665.1298828125,4614.75,4662.85009765625,4662.85009765625,3483530000
4632.240234375,4632.240234375,4568.7001953125,4577.10986328125,4577.10986328125,3324960000
4588.02978515625,4611.5498046875,4530.2001953125,4532.759765625,4532.759765625,3387370000
4547.35009765625,4602.10986328125,4477.9501953125,4482.72998046875,4482.72998046875,3473060000
4471.3798828125,4494.52001953125,4395.33984375,4397.93994140625,4397.93994140625,3945810000
4356.31982421875,4417.35009765625,4222.6201171875,4410.1298828125,4410.1298828125,5172540000
4366.64013671875,4411.009765625,4287.10986328125,4356.4501953125,4356.4501953125,3989420000
4408.43017578125,4453.22998046875,4304.7998046875,4349.93017578125,4349.93017578125,4046270000
4380.580078125,4428.740234375,4309.5,4326.509765625,4326.509765625,4074330000
4336.18994140625,4432.72021484375,4292.4599609375,4431.85009765625,4431.85009765625,3936030000
